id,frase,tipo,tags_idioma
001,"A gente vai fazer a call amanhã ou vai dar no show de novo?","intra","PT PT PT PT EN PT PT EN PT"
002,"Eu juro que o deadline tava ontem, não hoje.","intra","PT EN PT PT PT PT PT"
003,"Bro, esse meeting foi tipo... um massacre.","intra","EN EN PT EN PT EN"
004,"Já te mandei o drive. Check lá antes da presentation.","inter","PT PT PT EN EN PT PT EN"
005,"Wait, você não salvou o arquivo?","inter","EN PT PT PT PT PT"
006,"Eu não sei se é bug ou se o dev esqueceu o commit.","intra","PT PT PT EN PT PT EN PT EN"
007,"Tá mutado, dude, liga o mic!","intra","PT EN EN PT PT"
008,"Mano, seriously, ninguém entendeu nada da demo.","intra","PT EN PT PT PT PT EN"
009,"O feedback foi tipo “great job”, mas sem bonus.","intra","EN PT PT EN EN PT PT EN"
010,"Listen, o problema é que o server caiu no deploy.","inter","EN PT PT PT EN PT PT PT"
011,"Aí ele disse “let’s merge it tomorrow” e nunca mais voltou.","inter","PT PT EN EN EN EN EN PT PT PT"
012,"Eu tô on call desde ontem, não aguento mais.","intra","PT PT EN EN PT PT PT PT"
013,"Tá, mas o output do script tá certo?","intra","PT PT EN PT EN PT PT"
014,"Can you believe que ele esqueceu o patch?","inter","EN EN EN PT PT PT EN"
015,"Falei “no stress”, mas por dentro eu tava dying.","intra","PT EN EN PT PT PT EN"
016,"Next time, eu juro que faço o push antes da review.","intra","EN EN PT PT PT PT EN PT EN"
017,"Pior que ele falou “bro, just chill” no meio da reunião.","inter","PT PT EN EN EN EN PT PT PT"
018,"A Wi-Fi caiu bem na hora do screen share, aff.","intra","EN PT PT PT PT PT EN EN PT"
019,"Eu love/hate essa mistura de idiomas, real.","intra","EN PT PT PT PT PT"
020,"Anyway, bora deployar essa parada logo.","intra","EN PT EN PT PT PT PT"
021,"Ontem eu falei pra ele “don’t worry”, mas ele não entendeu.","inter","PT PT PT EN EN PT PT PT PT"
022,"O projeto atrasou. We need to hurry ou vamos perder tudo.","inter","PT PT EN EN EN PT PT PT PT"
023,"Eu tava na reunião e ele disse “just push it”. Depois sumiu.","inter","PT PT PT EN EN EN PT PT PT"
024,"A equipe reclamou do bug, mas ninguém conseguiu reproduzir.","intra","PT PT PT EN PT PT PT"
025,"FYI, o deployment vai ser amanhã cedo.","intra","EN EN PT EN PT PT PT"
